connector_id,version,releaseDate,lifecycleStage,adoptionPct,scanSuccessRatePct
amazon-s3,3.4.0,2026-05-01,ga,70,99.2
amazon-s3,3.3.2,2026-01-15,ga,25,98.4
amazon-s3,3.2.0,2025-08-01,deprecated,5,95.0
azure-blob,2.9.1,2026-04-10,ga,81,98.6
azure-blob,2.7.0,2025-10-02,deprecated,19,94.1
snowflake,1.8.0,2026-06-01,ga,100,99.7
bigquery,0.6.2,2026-06-20,beta,100,91.4
sharepoint,4.1.3,2026-05-20,ga,88,97.8
sharepoint,4.0.5,2025-12-01,ga,12,96.0
google-drive,3.2.0,2026-04-28,ga,76,98.9
slack,0.9.4,2026-06-10,beta,100,95.1
postgresql,5.0.1,2026-05-15,ga,90,99.4
postgresql,4.8.2,2025-09-01,deprecated,10,96.8
mongodb,2.2.0,2026-04-05,ga,68,98.1
mongodb,2.0.4,2025-11-10,ga,32,96.9
workday,1.4.2,2026-03-22,ga,72,99.0
workday,1.3.0,2025-10-15,ga,28,97.2
active-directory,6.1.0,2026-02-18,ga,85,99.5
active-directory,5.9.0,2025-06-01,deprecated,15,92.0
nfs-share,1.0.9,2024-11-01,deprecated,100,64.0
