connector_id,version,tenant_id
amazon-s3,3.4.0,meridian-health
amazon-s3,3.4.0,initech
amazon-s3,3.3.2,northwind
amazon-s3,3.2.0,globex
azure-blob,2.9.1,northwind
azure-blob,2.9.1,meridian-health
azure-blob,2.7.0,globex
snowflake,1.8.0,meridian-health
snowflake,1.8.0,northwind
snowflake,1.8.0,initech
bigquery,0.6.2,meridian-health
sharepoint,4.1.3,meridian-health
sharepoint,4.1.3,northwind
sharepoint,4.1.3,globex
sharepoint,4.0.5,initech
google-drive,3.2.0,meridian-health
google-drive,3.2.0,northwind
google-drive,3.2.0,initech
slack,0.9.4,northwind
postgresql,5.0.1,globex
postgresql,5.0.1,meridian-health
postgresql,4.8.2,northwind
mongodb,2.2.0,initech
mongodb,2.2.0,meridian-health
mongodb,2.0.4,globex
workday,1.4.2,northwind
workday,1.3.0,meridian-health
active-directory,6.1.0,initech
active-directory,6.1.0,northwind
active-directory,6.1.0,globex
active-directory,5.9.0,meridian-health
nfs-share,1.0.9,globex
